specobjid,ra,dec,run,rerun,camCol,field
75094093079773184,147.17639,-0.35405684,1239,40,3,179
75094093268516864,146.85676,-0.27404021,1239,40,3,177
75094093364985856,146.03,-0.65827367,1239,40,2,171
75094093381763072,146.19262,-0.68840099,1239,40,2,172
75094093385957376,146.00779,-0.64227163,1239,40,2,171
75094093406928896,146.61904,-0.43432227,756,44,2,206
75094093419511808,146.7517,-0.40839151,1239,40,3,176
75094093570506752,146.35579,-0.14338836,756,44,3,204
75094093583089664,146.29988,-0.12001413,756,44,3,203
75094093616644096,146.32316,-0.029989881,756,44,3,204
